Experiment,Activation,Learning_Rate,Max_Iterations,Hidden_Neurons,Train_Test Split,MSE_Test,RMSE_Test,R2_Test
1,tanh,0.0001,30,4,80.0:20.0,683.2486734997913,26.13902587128662,-0.981461703248117
2,tanh,0.0001,80,4,80.0:20.0,193.69051318989074,13.917273913733636,0.4382860164186474
3,tanh,0.005,30,4,80.0:20.0,516.847989186237,22.734291042085236,-0.49888984303112327
4,tanh,0.005,80,4,80.0:20.0,488.12395278314676,22.093527395668325,-0.415588432720452
5,tanh,0.0001,30,8,80.0:20.0,396.50696295883955,19.91248259155145,-0.14989372485682573
6,tanh,0.0001,80,8,80.0:20.0,171.43558534036228,13.09334125960071,0.5028266279891198
7,tanh,0.005,30,8,80.0:20.0,635.3983238150958,25.207108596883852,-0.8426928492939736
8,tanh,0.005,80,8,80.0:20.0,294.0235884572286,17.147116039066994,0.14731414347961924
9,sigmoid,0.0001,30,4,80.0:20.0,2264.658852063547,47.5884319143166,-5.567645076133663
10,sigmoid,0.0001,80,4,80.0:20.0,1663.5041745814287,40.786078195646965,-3.824260833530148
11,sigmoid,0.005,30,4,80.0:20.0,254.56906958159087,15.955220762546373,0.2617345898036617
12,sigmoid,0.005,80,4,80.0:20.0,235.64515335929488,15.350737876704653,0.31661506996308164
13,sigmoid,0.0001,30,8,80.0:20.0,2121.7744689247056,46.06272320352657,-5.153271884991373
14,sigmoid,0.0001,80,8,80.0:20.0,1642.421257632748,40.52679678475401,-3.763119123129762
15,sigmoid,0.005,30,8,80.0:20.0,231.91249738339434,15.228673526719072,0.3274399938224464
16,sigmoid,0.005,80,8,80.0:20.0,208.31569297537044,14.433145636879386,0.39587212705153485
17,relu,0.0001,30,4,80.0:20.0,28.41906819969557,5.3309537795497315,0.917583015578719
18,relu,0.0001,80,4,80.0:20.0,32.91268466088966,5.736957787964773,0.9045512611497891
19,relu,0.005,30,4,80.0:20.0,56.52075184678172,7.518028454773347,0.8360864651964488
20,relu,0.005,80,4,80.0:20.0,7.711346389629976,2.7769311099899427,0.9776366378096787
21,relu,0.0001,30,8,80.0:20.0,29.851450354870497,5.463648081169805,0.9134290223183195
22,relu,0.0001,80,8,80.0:20.0,33.03538204115653,5.747641432897196,0.9041954314650532
23,relu,0.005,30,8,80.0:20.0,8.056748795326838,2.8384412615600905,0.9766349503338839
24,relu,0.005,80,8,80.0:20.0,7.7017493198303875,2.775202572755796,0.9776644698816737
